symbol,type,qty,avgCost,est_value,pct_of_portfolio
QQQ,STK,1.0,484.38,484.38,34.55808909563083
IMMR,STK,19.0,7.91,150.29,10.722439428098513
LWAY,STK,5.0,24.65,123.25,8.793270739990296
NVDA,STK,1.0,113.76,113.76,8.11620672926001
BSX,STK,1.0,102.34,102.34,7.3014468765160805
FTNT,STK,1.0,101.01,101.01,7.206558032019634
SCHD,STK,3.0,28.06943335,84.20830005,6.0078408186124825
RMBI,STK,5.0,12.91,64.55,4.60531948289147
BFIN,STK,5.0,12.55,62.75,4.476898490339887
SOXX,STK,0.2959,197.90942885,58.561399996715004,4.178062840437987
JEPI,STK,1.0,57.9856,57.9856,4.13698239205502
T,STK,2.0,27.65,55.3,3.9453782711680594
VZ,STK,1.0,44.18,44.18,3.1520219171827284
PCG,STK,2.0,17.24,34.48,2.459975457321423
